design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_question_main,1,20,20,-0.1,-0.2,-0.025
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,consciousness_term_main,1,20,20,-0.1,-0.2,-0.025
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_x_term_interaction,1,20,20,0.2,0.05,0.4
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,open_description_advantage,1,20,20,0.1,0.025,0.2
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_question_main,1,20,20,-0.125,-0.225,-0.025
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,consciousness_term_main,1,20,20,-0.125,-0.225,-0.05
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_x_term_interaction,1,20,20,0.25,0.05,0.45
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,open_description_advantage,1,20,20,0.125,0.05,0.225
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,direct_question_main,1,20,20,-0.1,-0.2,-0.025
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,consciousness_term_main,1,20,20,-0.1,-0.2,-0.025
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,direct_x_term_interaction,1,20,20,0.2,0.05,0.4
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,open_description_advantage,1,20,20,0.1,0.025,0.2
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,direct_question_main,1,20,20,-0.7,-0.85,-0.525
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,consciousness_term_main,1,20,20,-0.1,-0.225,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,direct_x_term_interaction,1,20,20,0.1,-0.15,0.35
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,open_description_advantage,1,20,20,0.7,0.525,0.85
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,direct_question_main,1,20,20,-0.35,-0.525,-0.175
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,consciousness_term_main,1,20,20,-0.15,-0.25,-0.05
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,direct_x_term_interaction,1,20,20,0.3,0.1,0.5
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,open_description_advantage,1,20,20,0.35,0.175,0.525
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,direct_question_main,1,20,20,-1.0,-1.0,-1.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,open_description_advantage,1,20,20,1.0,1.0,1.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,direct_question_main,4,80,80,0.006249999999999992,-0.15625,0.2375
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,consciousness_term_main,4,80,80,0.031249999999999986,-0.125,0.25
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,direct_x_term_interaction,4,80,80,0.5625000000000001,0.17500000000000002,1.0625
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,open_description_advantage,4,80,80,-0.006249999999999992,-0.24374999999999997,0.15625
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,direct_question_main,4,80,80,-0.20625,-0.55,0.05
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,consciousness_term_main,4,80,80,0.06875,-0.11875,0.26249999999999996
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,direct_x_term_interaction,4,80,80,0.5375,0.1621875000000001,0.9375
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,open_description_advantage,4,80,80,0.20625,-0.056249999999999994,0.5437500000000001
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,direct_question_main,4,80,80,-0.006249999999999992,-0.25625,0.21875
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,consciousness_term_main,4,80,80,0.14375,-0.08140624999999994,0.36875
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,direct_x_term_interaction,4,80,80,0.5874999999999999,0.1375,1.05
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,open_description_advantage,4,80,80,0.006249999999999992,-0.21875,0.24375000000000002
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,direct_question_main,4,80,80,-0.25625,-0.75,0.05625
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,consciousness_term_main,4,80,80,0.20625,0.0,0.43125
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,direct_x_term_interaction,4,80,80,0.4125,0.0,0.8625
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,open_description_advantage,4,80,80,0.25625,-0.05625,0.75
query_factorial_overall,model,anthropic:claude-haiku-4-5-20251001,ALL_FACTORIAL_CELLS,direct_question_main,1,20,4,0.0,-0.10625000000000001,0.09375
query_factorial_overall,model,anthropic:claude-haiku-4-5-20251001,ALL_FACTORIAL_CELLS,consciousness_term_main,1,20,4,0.2125,0.08750000000000001,0.31875
query_factorial_overall,model,anthropic:claude-haiku-4-5-20251001,ALL_FACTORIAL_CELLS,direct_x_term_interaction,1,20,4,0.775,0.6125,0.9375
query_factorial_overall,model,anthropic:claude-haiku-4-5-20251001,ALL_FACTORIAL_CELLS,open_description_advantage,1,20,4,0.0,-0.09375,0.10625
query_factorial_overall,model,anthropic:claude-sonnet-4-5-20250929,ALL_FACTORIAL_CELLS,direct_question_main,1,20,4,0.13125,0.02500000000000001,0.21875
query_factorial_overall,model,anthropic:claude-sonnet-4-5-20250929,ALL_FACTORIAL_CELLS,consciousness_term_main,1,20,4,0.38125,0.3125,0.475
query_factorial_overall,model,anthropic:claude-sonnet-4-5-20250929,ALL_FACTORIAL_CELLS,direct_x_term_interaction,1,20,4,1.0625,0.8875,1.2625
query_factorial_overall,model,anthropic:claude-sonnet-4-5-20250929,ALL_FACTORIAL_CELLS,open_description_advantage,1,20,4,-0.13125,-0.21875,-0.025
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,direct_question_main,1,20,4,-0.05625,-0.10625,-0.00625
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,consciousness_term_main,1,20,4,-0.05625,-0.10625,-0.00625
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,direct_x_term_interaction,1,20,4,0.1125,0.0125,0.2125
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,open_description_advantage,1,20,4,0.05625,0.00625,0.10625
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,direct_question_main,1,20,4,-0.5375,-0.69375,-0.38125
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,consciousness_term_main,1,20,4,-0.0875,-0.15625,-0.03125
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,direct_x_term_interaction,1,20,4,0.15,0.0625,0.25
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,open_description_advantage,1,20,4,0.5375,0.38125,0.69375
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,direct_question_main,4,80,16,-0.11562499999999999,-0.40625,0.09062500000000001
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,consciousness_term_main,4,80,16,0.11249999999999999,-0.0765625,0.3109375
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,direct_x_term_interaction,4,80,16,0.525,0.12499999999999999,0.9437500000000001
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,open_description_advantage,4,80,16,0.11562499999999999,-0.09218749999999999,0.4
