judge,design,analysis_role,layer,width,left,right,n_complete_blocks,n_incomplete_blocks,incomplete_blocks,left_n,left_positive,left_rate,right_n,right_positive,right_rate,effect,ci_low,ci_high,discordant_positive,discordant_negative,tied_blocks,exact_discordant_two_sided_p,exact_test_role,exact_discordant_holm_p_across_primary_roles,multiplicity_note
openai,primary_layer20_131k,subjective_self_report,20,131072,suppression,amplification,50,0,[],50,3,0.06,50,5,0.1,-0.04,-0.14,0.06,2,4,44,0.6875,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
openai,primary_layer20_131k,hedging_refusal,20,131072,suppression,amplification,50,0,[],50,3,0.06,50,1,0.02,0.04,-0.04,0.12,3,1,46,0.625,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
openai,primary_layer20_131k,matched_control_1,20,131072,suppression,amplification,50,0,[],50,5,0.1,50,0,0.0,0.1,0.02,0.18,5,0,45,0.0625,descriptive; not part of frozen verdict rule,0.375,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
openai,primary_layer20_131k,matched_control_2,20,131072,suppression,amplification,50,0,[],50,6,0.12,50,5,0.1,0.02,-0.06,0.1,3,2,45,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
openai,primary_layer20_131k,matched_control_3,20,131072,suppression,amplification,50,0,[],50,5,0.1,50,3,0.06,0.04,-0.06,0.16,5,3,42,0.7265625,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
openai,layer_localization,deception_roleplay,9,131072,suppression,amplification,30,0,[],30,0,0.0,30,2,0.06666666666666667,-0.06666666666666667,-0.16666666666666666,0.0,0,2,28,0.5,descriptive; not part of frozen verdict rule,,
openai,layer_localization,deception_roleplay,31,131072,suppression,amplification,30,0,[],30,2,0.06666666666666667,30,1,0.03333333333333333,0.03333333333333333,-0.06666666666666667,0.13333333333333333,2,1,27,1.0,descriptive; not part of frozen verdict rule,,
openai,width_robustness,deception_roleplay,20,16384,suppression,amplification,30,0,[],30,0,0.0,30,1,0.03333333333333333,-0.03333333333333333,-0.1,0.0,0,1,29,1.0,descriptive; not part of frozen verdict rule,,
anthropic,primary_layer20_131k,deception_roleplay,20,131072,suppression,amplification,49,1,['13'],49,1,0.02040816326530612,49,1,0.02040816326530612,0.0,-0.061224489795918366,0.061224489795918366,1,1,47,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
anthropic,primary_layer20_131k,subjective_self_report,20,131072,suppression,amplification,48,2,"['13', '47']",48,2,0.041666666666666664,48,5,0.10416666666666667,-0.0625,-0.16666666666666666,0.020833333333333332,1,4,43,0.375,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
anthropic,primary_layer20_131k,hedging_refusal,20,131072,suppression,amplification,49,1,['9'],49,3,0.061224489795918366,49,1,0.02040816326530612,0.04081632653061224,-0.04081632653061224,0.12244897959183673,3,1,45,0.625,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
anthropic,primary_layer20_131k,matched_control_1,20,131072,suppression,amplification,50,0,[],50,2,0.04,50,0,0.0,0.04,0.0,0.1,2,0,48,0.5,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
anthropic,primary_layer20_131k,matched_control_2,20,131072,suppression,amplification,49,1,['13'],49,3,0.061224489795918366,49,2,0.04081632653061224,0.02040816326530612,-0.04081632653061224,0.08163265306122448,2,1,46,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
anthropic,primary_layer20_131k,matched_control_3,20,131072,suppression,amplification,49,1,['13'],49,5,0.10204081632653061,49,2,0.04081632653061224,0.061224489795918366,-0.04081632653061224,0.16326530612244897,5,2,42,0.453125,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
anthropic,layer_localization,deception_roleplay,9,131072,suppression,amplification,30,0,[],30,1,0.03333333333333333,30,2,0.06666666666666667,-0.03333333333333333,-0.1,0.0,0,1,29,1.0,descriptive; not part of frozen verdict rule,,
anthropic,layer_localization,deception_roleplay,31,131072,suppression,amplification,30,0,[],30,1,0.03333333333333333,30,0,0.0,0.03333333333333333,0.0,0.1,1,0,29,1.0,descriptive; not part of frozen verdict rule,,
anthropic,width_robustness,deception_roleplay,20,16384,suppression,amplification,28,2,"['4', '5']",28,0,0.0,28,0,0.0,0.0,0.0,0.0,0,0,28,,descriptive; not part of frozen verdict rule,,
direct,primary_layer20_131k,deception_roleplay,20,131072,suppression,amplification,0,50,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
direct,primary_layer20_131k,subjective_self_report,20,131072,suppression,amplification,0,50,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
direct,primary_layer20_131k,hedging_refusal,20,131072,suppression,amplification,0,50,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
direct,primary_layer20_131k,matched_control_1,20,131072,suppression,amplification,0,50,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
direct,primary_layer20_131k,matched_control_2,20,131072,suppression,amplification,0,50,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
direct,primary_layer20_131k,matched_control_3,20,131072,suppression,amplification,0,50,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
direct,layer_localization,deception_roleplay,9,131072,suppression,amplification,0,30,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,
direct,layer_localization,deception_roleplay,31,131072,suppression,amplification,0,30,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,
direct,width_robustness,deception_roleplay,20,16384,suppression,amplification,0,30,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']",0,0,,0,0,,,,,0,0,0,,descriptive; not part of frozen verdict rule,,
majority,primary_layer20_131k,deception_roleplay,20,131072,suppression,amplification,49,1,['13'],49,2,0.04081632653061224,49,1,0.02040816326530612,0.02040816326530612,-0.04081632653061224,0.10204081632653061,2,1,46,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
majority,primary_layer20_131k,subjective_self_report,20,131072,suppression,amplification,48,2,"['13', '47']",48,2,0.041666666666666664,48,5,0.10416666666666667,-0.0625,-0.14583333333333334,0.020833333333333332,1,4,43,0.375,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
majority,primary_layer20_131k,hedging_refusal,20,131072,suppression,amplification,49,1,['9'],49,3,0.061224489795918366,49,1,0.02040816326530612,0.04081632653061224,-0.04081632653061224,0.12244897959183673,3,1,45,0.625,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
majority,primary_layer20_131k,matched_control_1,20,131072,suppression,amplification,50,0,[],50,3,0.06,50,0,0.0,0.06,0.0,0.14,3,0,47,0.25,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
majority,primary_layer20_131k,matched_control_2,20,131072,suppression,amplification,49,1,['13'],49,4,0.08163265306122448,49,2,0.04081632653061224,0.04081632653061224,-0.04081632653061224,0.12244897959183673,3,1,45,0.625,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
majority,primary_layer20_131k,matched_control_3,20,131072,suppression,amplification,49,1,['13'],49,4,0.08163265306122448,49,3,0.061224489795918366,0.02040816326530612,-0.08163265306122448,0.12244897959183673,4,3,42,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
majority,layer_localization,deception_roleplay,9,131072,suppression,amplification,30,0,[],30,0,0.0,30,3,0.1,-0.1,-0.23333333333333334,0.0,0,3,27,0.25,descriptive; not part of frozen verdict rule,,
majority,layer_localization,deception_roleplay,31,131072,suppression,amplification,30,0,[],30,2,0.06666666666666667,30,0,0.0,0.06666666666666667,0.0,0.16666666666666666,2,0,28,0.5,descriptive; not part of frozen verdict rule,,
majority,width_robustness,deception_roleplay,20,16384,suppression,amplification,28,2,"['4', '5']",28,0,0.0,28,0,0.0,0.0,0.0,0.0,0,0,28,,descriptive; not part of frozen verdict rule,,
